R&D Spend,Profit
1269,50116.99489
43990,86613.17655
49875,91640.68127
105070,138793.2935
93591,128986.8828
73077,111461.9497
94548,129804.4397
151956,178847.5987
60864,101028.4891
102790,136845.5092
53315,94579.44358
116723,148748.3508
49288,91139.21223
145513,173343.3994
148513,175906.2735
74741,112883.4905
104234,138079.1059
34715,78689.62408
107457,140832.487
156016,182316.0217
93879,129232.9188
121139,152520.9015
99283,133849.5093
140934,169431.5992
70585,109333.0556
84834,121505.8533
70098,108917.0157
140809,169324.8128
131560,161423.4719
143330,171478.4813
103756,137670.7546
66195,105582.7164
108206,141472.3512
141099,169572.5573
91258,126993.8211
82771,119743.4502
63354,103155.6747
43639,86313.32028
66303,105674.9799
120844,152268.8856
61968,101971.6268
137388,166402.282
41818,84757.65569
109162,142289.0538
124648,155518.6099
150584,177675.5109
72698,111138.1732
109398,142490.6665
19644,65814.59883
46632,88870.21435
89242,125271.5697
133947,163462.6654
123502,154539.592
119535,151150.6182
151311,178296.5808
67153,106401.1276
32321,76644.45054
71633,110228.3529
86080,122570.3004
6055,54205.63339
29050,73850.06347
79974,117353.9972
17303,63814.70273
21265,67199.40514
154934,181391.6784
155120,181550.5766
126307,156935.8793
155154,181579.6225
53078,94376.97653
31835,76229.26494
47467,89583.54765
149605,176839.1597
75555,113578.8837
29784,74477.11333
46373,88648.95289
52714,94066.01447
114529,146874.0356
134049,163549.8031
105163,138872.7426
84807,121482.7874
47480,89594.65343
52985,94297.52743
129319,159509.0049
37618,81169.63193
80380,117700.8395
14469,61393.64099
141203,169661.4036
143533,171651.9025
92746,128265.0066
30713,75270.75002
70966,109658.5406
113478,145976.1753
5107,53395.76517
111210,144038.6425
6166,54300.45973
10758,58223.36571
19870,66007.66868
84817,121491.3304
47856,89915.86699
155761,182098.1774
22390,68160.48294
102474,136575.5531
73031,111422.6523
108606,141814.0678
43074,85830.64565
85328,121927.8732
55700,96616.9285
48759,90687.2921
124538,155424.6379
86530,122954.7315
75098,113188.4725
134440,163883.8311
23354,68984.01982
58848,99306.23774
3854,52325.33808
11310,58694.93455
36517,80229.05713
65189,104723.2993
2603,51256.61958
2696,51336.06868
4908,53225.76119
18307,64672.41127
145420,173263.9503
124967,155791.1289
81122,118334.7237
48147,90164.46578
107504,140872.6387
78966,116492.8715
11572,58918.75889
17929,64349.48913
135016,164375.9029
140499,169059.9825
70972,109663.6663
23044,68719.18949
62977,102833.6068
127949,158338.6258
140062,168686.6571
142634,170883.8945
51407,92949.45565
71393,110023.323
90687,126506.0207
95482,130602.3478
79898,117289.0711
80315,117645.3106
116953,148944.8378
77184,114970.5243
141804,170174.8327
51183,92758.09438
109716,142762.3312
140198,168802.8408
8318,56138.89476
130650,160646.0668
132796,162479.376
114589,146925.293
14349,61291.12602
74459,112642.5803
78709,116273.3187
70529,109285.2152
63481,103264.1697
12968,60111.34964
7251,55227.36587
28913,73733.02555
57470,98129.02423
39280,82589.46419
140284,168876.3098
65509,104996.6726
115538,147736.0156
155075,181512.1335
54112,95260.31381
50269,91977.27207
90441,126295.865
146667,174329.2516
81041,118265.5261
122666,153825.4044
52746,94093.35179
139181,167934.0264
63457,103243.6667
130989,160935.6715
67877,107019.6345
145505,173336.5651
28236,73154.67029
113363,145877.9318
134787,164180.2702
158727,184632.0056
120520,151992.0952
60472,100693.6069
154106,180684.3252
40219,83391.64379
84406,121140.2166
20629,66656.07583
87536,123814.1486
118530,150292.0553
129325,159514.1307
44466,87019.81924
55907,96793.76682
65694,105154.7165
148622,175999.3913
140627,169169.3318
156713,182911.4628
100606,134979.7368
24830,70244.95388
141159,169623.8148
101587,135817.7966
1215,50070.86316
13269,60368.49134
155679,182028.1255
50634,92289.08842
158637,184555.1194
101322,135591.4094
28980,73790.26307
130675,160667.424
84533,121248.7116
101223,135506.8346
123282,154351.6479
79009,116529.6061
109841,142869.1176
96021,131062.8109
136849,165941.819
144390,172384.0302
109658,142712.7823
50050,91790.18226
60170,100435.6109
112043,144750.2672
103519,137468.2876
132029,161824.1346
51373,92920.40974
69518,108421.5267
107707,141046.0598
125384,156147.3684
156397,182641.5067
118745,150475.728
36008,79794.22283
7959,55832.20416
121607,152920.7099
113168,145711.345
92665,128195.809
36840,80504.99325
144661,172615.5432
62251,102213.3913
49407,91240.87291
127740,158160.0789
6101,54244.9308
142977,171176.9165
138529,167377.0285
122905,154029.5801
66102,105503.2673
18930,65204.63479
18903,65181.56893
140704,169235.1122
112110,144807.5047
143046,171235.8626
50864,92485.57543
132160,161936.0467
68920,107910.6604
157947,183965.6583
120687,152134.7618
3372,51913.56964
53012,94320.5933
64233,103906.5968
102541,136632.7906
27996,72949.64036
3111,51690.5996
66932,106212.3292
118012,149849.5324
18192,64574.16776
83511,120375.6258
123767,154765.9792
44424,86983.939
143423,171557.9304
127190,157690.2186
22014,67839.26938
148327,175747.3753
4852,53177.92087
87342,123648.4161
12412,59636.36364
66380,105740.7603
135781,165029.4358
154047,180633.922
91262,126997.2382
143575,171687.7827
89669,125636.3521
3737,52225.38599
12816,59981.49735
46750,88971.02073
16708,63306.39937
11277,58666.74293
32758,77017.77587
131074,161008.2863
33729,77847.29279
56708,97478.0542
43245,85976.72948
117945,149792.2949
93533,128937.3339
36345,80082.11902
123150,154238.8815
146767,174414.6808
125425,156182.3943
26154,71376.03566
113132,145680.5905
159191,185028.3968
23281,68921.65655
145038,172937.611
119016,150707.2409
159570,185352.1732
66705,106018.405
96720,131659.9605
77031,114839.8177
56584,97372.12207
34269,78308.61013
43002,85769.13667
90606,126436.8231
21297,67226.74247
147448,174996.4532
11931,59225.44949
62868,102740.489
107864,141180.1836
126763,157325.4362
48320,90312.25819
132750,162440.0786
90232,126117.3181
11415,58784.63514
136367,165530.0505
48599,90550.60548
131209,161123.6156
44805,87309.42402
27745,72735.21323
56428,97238.85262
22961,68648.28331
127002,157529.6118
42722,85529.93509
36880,80539.1649
134020,163525.0287
105406,139080.3354
135965,165186.6254
22609,68347.57275
48592,90544.62544
45646,88027.88306
18687,64997.04199
159134,184979.7022
25194,70555.91594
49370,91209.26412
83997,120790.8114
127102,157615.041
112617,145240.6305
18790,65085.034
31530,75968.70607
154761,181243.886
62322,102274.046
138389,167257.4277
54437,95537.9585
128678,158961.4042
36374,80106.89347
91354,127075.833
159026,184887.4387
21362,67282.27141
33021,77242.4545
135411,164713.348
41996,84909.71956
129894,160000.2225
29076,73872.27504
60970,101119.044
68150,107252.8561
79611,117043.8895
125073,155881.6838
108627,141832.0079
38547,81963.26862
109403,142494.938
110385,143333.8521
27445,72478.92582
99603,134122.8826
10372,57893.60924
146341,174050.7527
20181,66273.3533
105465,139130.7386
58528,99032.8645
107739,141073.3972
125610,156340.4382
45698,88072.30621
90555,126393.2542
19468,65664.24355
100506,134894.3077
72494,110963.8978
63372,103171.0519
41878,84808.91317
105962,139555.3214
23028,68705.52083
55229,96214.55727
57839,98444.25774
112421,145073.1894
104830,138588.2636
105004,138736.9103
33474,77629.44849
101381,135641.8126
49895,91657.76709
140901,169403.4076
99011,133617.1421
25140,70509.78421
88069,124269.4859
5954,54119.34996
146657,174320.7087
120300,151804.1511
153919,180524.5727
6952,54971.93275
24538,69995.5008
33718,77837.89559
60311,100556.066
158104,184099.7821
120265,151774.2509
122843,153976.614
156926,183093.4268
50112,91843.14832
12068,59342.48741
78098,115751.3466
69762,108629.9738
156672,182876.4368
110066,143061.3332
149352,176623.024
123926,154901.8116
155584,181946.9678
59551,99906.80457
32892,77132.25091
148355,175771.2955
34087,78153.1291
9153,56852.22806
141090,169564.8687
30917,75445.02546
116032,148158.0355
111403,144203.5207
109089,142226.6905
147916,175396.2616
80883,118130.5481
69933,108776.0576
68302,107382.7084
83794,120617.3903
118649,150393.716
66766,106070.5168
130880,160842.5538
114090,146499.0017
56983,97712.98433
90073,125981.4858
26750,71885.19331
94859,130070.1243
64520,104151.7784
66882,106169.6146
114904,147194.3948
108270,141527.0259
76026,113981.2549
158668,184581.6024
5885,54060.40386
32007,76376.20305
58843,99301.96628
57863,98464.76074
146290,174007.1838
92831,128337.6214
149026,176344.525
68638,107669.7503
48519,90482.26217
35910,79710.50227
41614,84583.38025
137713,166679.9267
29287,74052.53052
94648,129889.8688
41578,84552.62576
96008,131051.7051
78630,116205.8296
19242,65471.1737
92507,128060.831
92171,127773.7891
70074,108896.5127
149598,176833.1797
6975,54991.58145
155563,181929.0277
63024,102873.7585
9960,57541.6412
19291,65513.03398
132449,162182.9369
3089,51671.80519
104168,138022.7227
153606,180257.1795
13316,60408.64304
151611,178552.8682
155716,182059.7343
76520,114403.2748
42221,85101.93511
126483,157086.2346
118217,150024.6621
91556,127248.3999
123093,154190.1869
90163,126058.372
104391,138213.2296
61243,101352.2656
60782,100958.4372
16787,63373.88839
152746,179522.4889
159000,184865.2271
62726,102619.1797
148420,175826.8244
135886,165119.1364
99774,134268.9664
14367,61306.50327
136326,165495.0246
33519,77667.8916
122931,154051.7917
73289,111643.0594
67289,106517.3112
22876,68575.66854
125112,155915.0011
88568,124695.7773
144841,172769.3156
159238,185068.5485
127074,157591.1208
67697,106865.8621
65307,104824.1057
84231,120990.7156
8882,56620.7151
129441,159613.2285
148278,175705.515
58228,98776.57709
136903,165987.9507
4187,52609.81711
80546,117842.6519
36302,80045.38449
36327,80066.74177
103813,137719.4492
117577,149477.9157
154222,180783.423
63645,103404.2734
45968,88302.96488
60822,100992.6089
107750,141082.7944
109510,142586.3472
147647,175166.4572
9316,56991.47755
70319,109105.8141
138525,167373.6113
122434,153627.2089
91086,126846.883
32205,76545.35274
18989,65255.03798
143683,171780.0462
81836,118944.6878
139592,168285.1402
54073,95226.99644
11977,59264.74689
133956,163470.354
133110,162747.6235
9063,56775.34184
36025,79808.74578
40178,83356.61784
29814,74502.74207
113466,145965.9238
12585,59784.15604
99265,133834.1321
26554,71717.75221
49642,91441.63138
135489,164779.9827
57784,98397.27172
50884,92502.66126
102170,136315.8485
36011,79796.7857
112108,144805.7962
52981,94294.11026
60350,100589.3834
38385,81824.87341
18632,64950.05596
75431,113472.9515
79191,116685.0871
76485,114373.3746
58814,99277.19183
71364,109998.5485
88650,124765.8292
133587,163155.1205
112125,144820.3191
106384,139915.8323
1681,50468.96294
50720,92362.55748
128215,158565.8673
35274,79167.17296
64229,103903.1796
57750,98368.22581
155883,182202.4009
24815,70232.13951
5210,53483.75718
83476,120345.7256
110481,143415.8641
9079,56789.0105
72359,110848.5685
111501,144287.2413
48082,90108.93684
42770,85570.94108
58265,98808.18587
15132,61960.03617
92114,127725.0945
24874,70282.5427
129228,159431.2644
2296,50994.35213
40501,83632.55396
46177,88481.51178
139729,168402.1781
45282,87716.921
145719,173519.3834
150394,177513.1956
154778,181258.409
82971,119914.3085
120814,152243.2568
109821,142852.0318
149129,176432.517
135073,164424.5975
9628,57258.01646
150311,177442.2894
117241,149190.8738
95584,130689.4855
69018,107994.381
72838,111257.774
87391,123690.2763
133567,163138.0347
49559,91370.72519
137973,166902.0425
7736,55641.69719
10707,58179.79685
125850,156545.4682
65352,104862.5488
154992,181441.2273
135611,164884.2062
98169,132897.8287
38099,81580.54608
91798,127455.1384
78442,116045.2229
131802,161630.2104
107178,140594.1397
2626,51276.26828
84533,121248.7116
19707,65868.41919
13123,60243.7648
3797,52276.64348
132703,162399.9269
22449,68210.88613
83026,119961.2945
27654,72657.47271
156793,182979.8061
73771,112054.8279
29469,74208.01155
134963,164330.6254
146580,174254.9283
82465,119482.037
80306,117637.622
130189,160252.2384
120735,152175.7678
67191,106433.5906
83593,120445.6777
108131,141408.2794
3574,52086.1365
98311,133019.1381
145072,172966.6569
133439,163028.6854
70521,109278.3809
111317,144130.0517
106821,140289.1577
107973,141273.3013
10488,57992.70704
90061,125971.2343
83918,120723.3224
93580,128977.4856
18947,65219.15775
60133,100404.0021
150860,177911.2954
103957,137842.4672
92330,127909.6214
123073,154173.101
142001,170343.1281
12564,59766.21593
48789,90712.92084
51795,93280.9207
44496,87045.44798
35278,79170.59013
155044,181485.6505
146775,174421.5151
17432,63924.90632
107612,140964.9022
7214,55195.75709
107501,140870.0758
141301,169745.1241
40281,83444.60985
159196,185032.6682
139547,168246.6971
125783,156488.2307
121583,152900.2069
138546,167391.5514
133671,163226.881
95277,130427.2181
44700,87219.72342
89471,125467.2024
146162,173897.8345
109909,142927.2094
31984,76356.55435
127797,158208.7735
21890,67733.33725
56547,97340.51329
142143,170464.4375
83936,120738.6997
117801,149669.2769
35679,79513.16096
139429,168145.8907
142144,170465.2918
89706,125667.9609
17219,63742.94226
129179,159389.4041
27903,72870.19126
88429,124577.0308
149794,177000.6208
137595,166579.1203
110391,143338.9779
141217,169673.3637
29605,74324.19518
158771,184669.5944
101859,136050.1639
158592,184516.6762
53884,95065.53537
142240,170547.3037
113736,146196.5825
70598,109344.1613
118793,150516.734
7888,55771.54948
45710,88082.55771
71222,109877.2392
159477,185272.7241
46307,88592.56966
44151,86750.71746
58725,99201.1599
57267,97955.60308
135390,164695.4079
145733,173531.3435
71791,110363.331
111381,144184.7263
62904,102771.2435
45209,87654.55773
154595,181102.0736
18651,64966.2875
153606,180257.1795
107173,140589.8682
26618,71772.42685
33472,77627.73991
2638,51286.51978
37255,80859.52417
43391,86101.45602
97670,132471.5373
1634,50428.81124
58986,99424.12995
56671,97446.44542
105205,138908.6228
116004,148134.1153
128926,159173.2684
38859,82229.80752
60549,100759.3874
75398,113444.7599
15801,62531.55709
44574,87112.08271
93601,128995.4258
5404,53649.48971
64529,104159.467
17495,63978.72668
138565,167407.783
79095,116603.0751
136431,165584.7252
46477,88737.79919
121576,152894.2269
18421,64769.80049
2682,51324.1086
9405,57067.50948
20279,66357.07385
25990,71235.93187
137404,166415.9507
9869,57463.90068
37191,80804.84952
25600,70902.75824
129013,159247.5918
74278,112487.9536
78694,116260.5043
85315,121916.7675
131636,161488.398
131599,161456.7893
148644,176018.1857
80987,118219.3944
100610,134983.154
153748,180378.4888
106158,139722.7625
41374,84378.35032
152109,178978.3053
57182,97882.98831
6906,54932.63535
53981,95148.40164
66959,106235.395
64124,103813.479
100306,134723.4494
146708,174364.2776
39202,82522.82946
19561,65743.69265
55658,96581.04826
24723,70153.5447
52176,93606.40571
120402,151891.2888
35429,79299.58812
40408,83553.10486
13599,60650.40749
86851,123228.959
4037,52481.67341
131611,161467.0408
68653,107682.5646
107094,140522.3792
62140,102118.5649
9494,57143.54142
128989,159227.0888
134194,163673.6754
126960,157493.7316
49855,91623.59544
127494,157949.9232
53778,94974.98049
116989,148975.5923
128157,158516.3184
72165,110682.8359
114314,146690.3629
11205,58605.23395
83554,120412.3603
131981,161783.1286
32137,76487.26093
54016,95178.30183
64613,104231.2275
11624,58963.18204
31587,76017.40068
12608,59803.80475
94359,129642.9786
2307,51003.74933
33161,77362.05529
159746,185502.5285
154187,180753.5228
144520,172495.0881
106777,140251.5689
16459,63093.68082
143258,171416.9724
73490,111814.772
87369,123671.4819
51353,92903.32391
66049,105457.9899
29723,74425.00156
146120,173861.9543
15440,62223.15791
13856,60869.96038
71829,110395.794
131154,161076.6296
68679,107704.7762
108056,141344.2075
140149,168760.9805
56850,97599.36358
47438,89558.7732
58867,99322.46927
12914,60065.21791
62574,102489.3274
53106,94400.89669
123537,154569.4922
48901,90808.60147
105143,138855.6568
63615,103378.6447
100405,134808.0242
41289,84305.73556
39970,83178.92524
43532,86221.9111
136133,165330.1463
131106,161035.6236
105127,138841.9881
46798,89012.02672
97209,132077.709
54135,95279.96251
134970,164336.6055
100275.47,413956.48
128456.23,333962.19
161181.72,476485.43
